model,feature_set,repeat,fold,fold_seed,threshold,roc_auc,pr_auc,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive
random_forest_production,base_with_page_values,1,1,42,0.4908721287147148,0.9233212181093194,0.7119945915160101,0.5751789976133651,0.7875816993464052,0.6648275862068965,0.08850134179414774,1489,178,65,241
random_forest_production,base_with_page_values,1,2,43,0.5734034876840158,0.9227444274088926,0.7057983549265738,0.6418338108882522,0.7344262295081967,0.6850152905198776,0.08765739038138534,1543,125,81,224
random_forest_production,base_with_page_values,1,3,44,0.6017885707017727,0.9330188308369697,0.7518778113452149,0.6761006289308176,0.7049180327868853,0.6902086677367576,0.0835093000834905,1565,103,90,215
random_forest_production,base_with_page_values,1,4,45,0.3937030684415182,0.9337657742658332,0.7479990743732575,0.5440860215053763,0.8295081967213115,0.6571428571428571,0.08454038481216883,1456,212,52,253
random_forest_production,base_with_page_values,1,5,46,0.5271535216636658,0.9294226400621515,0.7354177262580408,0.6030150753768844,0.7868852459016393,0.6827880512091038,0.08520738097175538,1509,158,65,240
random_forest_production,base_with_page_values,2,1,47,0.492152920834178,0.9303100164280868,0.7191449076522624,0.5857843137254902,0.7810457516339869,0.6694677871148459,0.08577036896844985,1498,169,67,239
random_forest_production,base_with_page_values,2,2,48,0.6019395546764909,0.9302512088689703,0.7471386840495935,0.6677115987460815,0.6983606557377049,0.6826923076923077,0.08425452666600208,1562,106,92,213
random_forest_production,base_with_page_values,2,3,49,0.5743938710937023,0.9203325863899046,0.7169206391652339,0.6056338028169014,0.7049180327868853,0.6515151515151515,0.09137782825140597,1528,140,90,215
random_forest_production,base_with_page_values,2,4,50,0.588930993309313,0.9288870542909935,0.7477326434301376,0.646875,0.6786885245901639,0.6624,0.08359488021412775,1555,113,98,207
random_forest_production,base_with_page_values,2,5,51,0.5310459896911449,0.9380864810644429,0.7525255900793396,0.6476683937823834,0.819672131147541,0.723589001447178,0.08264892555825798,1531,136,55,250
hist_gradient_boosting,engineered_full,1,1,42,0.5788880547833043,0.9247091758118965,0.7233228036105128,0.6097560975609756,0.7352941176470589,0.6666666666666666,0.0893304746143087,1523,144,81,225
hist_gradient_boosting,engineered_full,1,2,43,0.7166873229932982,0.927607422258914,0.7263478818596596,0.6711409395973155,0.6557377049180327,0.6633499170812603,0.08867266449868878,1570,98,105,200
hist_gradient_boosting,engineered_full,1,3,44,0.7171937645103934,0.9323112002201517,0.7395603270052967,0.6917562724014337,0.6327868852459017,0.660958904109589,0.08392240473774124,1582,86,112,193
hist_gradient_boosting,engineered_full,1,4,45,0.5227874718840533,0.935006093485867,0.7549491256745781,0.6015424164524421,0.7672131147540984,0.6743515850144092,0.082742567308683,1513,155,71,234
hist_gradient_boosting,engineered_full,1,5,46,0.6574020612921541,0.9331281284726661,0.7588626427675315,0.6626506024096386,0.7213114754098361,0.6907378335949764,0.08565657152497161,1555,112,85,220
hist_gradient_boosting,engineered_full,2,1,47,0.5958839931529003,0.9273851112130516,0.7233472149923779,0.6198347107438017,0.7352941176470589,0.672645739910314,0.08744179762467912,1529,138,81,225
hist_gradient_boosting,engineered_full,2,2,48,0.6510058147405015,0.9341706962299012,0.7658805320806648,0.6808510638297872,0.7344262295081967,0.7066246056782335,0.0810236796668308,1563,105,81,224
hist_gradient_boosting,engineered_full,2,3,49,0.7414707838876173,0.9230294452962221,0.7171291686631488,0.6690647482014388,0.6098360655737705,0.6380789022298456,0.09298384930760065,1576,92,119,186
hist_gradient_boosting,engineered_full,2,4,50,0.5929905915319104,0.93407437984039,0.76724339750241,0.6436781609195402,0.7344262295081967,0.6860643185298622,0.08151823031120173,1544,124,81,224
hist_gradient_boosting,engineered_full,2,5,51,0.7036847461136719,0.9387729011574736,0.7655584191004754,0.6838487972508591,0.6524590163934426,0.6677852348993288,0.0813421828901853,1575,92,106,199
stacking_trees,engineered_full,1,1,42,0.24183525054633825,0.9272263194419939,0.7369089052590024,0.5780487804878048,0.7745098039215687,0.6620111731843575,0.0718892903208424,1494,173,69,237
stacking_trees,engineered_full,1,2,43,0.27991547518258364,0.9254235955497896,0.7164737397057358,0.6035805626598465,0.7737704918032787,0.6781609195402298,0.07293736053784468,1513,155,69,236
stacking_trees,engineered_full,1,3,44,0.30654591481659216,0.9333313676927311,0.7513511484075482,0.6346153846153846,0.7573770491803279,0.6905829596412556,0.06937243480605089,1535,133,74,231
stacking_trees,engineered_full,1,4,45,0.19739354691984407,0.9349235365805717,0.7493632181968723,0.5849514563106796,0.7901639344262295,0.6722454672245467,0.07045433941375986,1497,171,64,241
stacking_trees,engineered_full,1,5,46,0.19544725101732074,0.9333307109069989,0.7534932847729658,0.5647321428571429,0.8295081967213115,0.6719787516600265,0.06772516019136585,1472,195,52,253
